SrNo,CalendarDate,Sales,CategoryByGender,Categories,Brand,Colors,Size,In_Stock,Discount,Customer_Return,Rating
d1,01/01/15,16436,Women,Stilettos,Tommy Hilfiger,White,39,Yes,Yes,Yes,1
d2,02/01/15,16419,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,No,No,5
d3,03/01/15,16119,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,Yes,Yes,1
d4,04/01/15,14097,Men,Sneakers,Coach,Pink,38,Yes,Yes,Yes,1
d5,05/01/15,15548,Men,Flip Flops,Aldo,Black,40,Yes,No,No,5
d6,06/01/15,14395,Men,Flip Flops,Coach,Pink,38,Yes,Yes,No,4
d7,07/01/15,14725,Men,Flip Flops,Tommy Hilfiger,White,38,Yes,No,Yes,1
d8,08/01/15,14044,Men,Sneakers,Tommy Hilfiger,White,40,Yes,No,No,5
d9,09/01/15,15949,Women,Stilettos,Kate Spade,Red,38,Yes,No,No,3
d10,10/01/15,15454,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d11,11/01/15,14660,Men,Boots,Aldo,Black,39,Yes,No,Yes,1
d12,12/01/15,13912,Women,Stilettos,Aldo,Black,41,Yes,No,No,5
d13,13/01/15,14251,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,Yes,1
d14,14/01/15,16039,Men,Boots,Adidas,Blue,41,Yes,No,Yes,1
d15,15/01/15,14942,Men,Sneakers,Adidas,Blue,40,Yes,No,No,5
d16,16/01/15,13996,Women,Wedges,Kate Spade,Red,40,Yes,Yes,No,4
d17,17/01/15,14320,Men,Flip Flops,Coach,Pink,39,Yes,No,Yes,1
d18,18/01/15,16155,Men,Sneakers,Kate Spade,Red,40,Yes,No,No,5
d19,19/01/15,15425,Men,Sneakers,Adidas,Blue,41,Yes,Yes,No,3
d20,20/01/15,15032,Men,Boots,Aldo,Black,38,Yes,No,No,5
d21,21/01/15,14227,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,5
d22,22/01/15,14924,Men,Flip Flops,Tommy Hilfiger,White,39,Yes,No,Yes,1
d23,23/01/15,15460,Men,Boots,Adidas,Blue,38,Yes,No,No,5
d24,24/01/15,14489,Men,Flip Flops,Coach,Pink,39,Yes,No,No,5
d25,25/01/15,13850,Women,Stilettos,Tommy Hilfiger,White,37,Yes,Yes,No,5
d26,26/01/15,13719,Women,Stilettos,Kate Spade,Red,39,Yes,No,No,5
d27,27/01/15,16054,Men,Flip Flops,Tommy Hilfiger,White,41,Yes,No,No,4
d28,28/01/15,15082,Men,Boots,Tommy Hilfiger,White,41,Yes,Yes,No,5
d29,29/01/15,15130,Men,Flip Flops,Adidas,Blue,37,Yes,Yes,No,5
d30,30/01/15,14491,Men,Sneakers,Coach,Pink,41,Yes,No,No,5
d31,31/01/15,15401,Men,Sneakers,Tommy Hilfiger,White,41,Yes,Yes,No,5
d32,01/02/15,15074,Men,Flip Flops,Aldo,Black,37,Yes,Yes,Yes,1
d33,02/02/15,14303,Men,Flip Flops,Kate Spade,Red,37,Yes,No,No,5
d34,03/02/15,13517,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d35,04/02/15,14533,Men,Boots,Kate Spade,Red,39,Yes,Yes,No,5
d36,05/02/15,15082,Men,Flip Flops,Coach,Pink,40,Yes,Yes,No,5
d37,06/02/15,14594,Women,Stilettos,Tommy Hilfiger,White,40,Yes,Yes,No,4
d38,07/02/15,13454,Men,Flip Flops,Adidas,Blue,41,Yes,Yes,No,5
d39,08/02/15,13842,Women,Wedges,Tommy Hilfiger,White,39,Yes,No,No,5
d40,09/02/15,15516,Men,Boots,Adidas,Blue,38,Yes,No,No,5
d41,10/02/15,14944,Women,Stilettos,Kate Spade,Red,38,Yes,Yes,No,5
d42,11/02/15,14837,Women,Stilettos,Aldo,Black,41,Yes,No,Yes,1
d43,12/02/15,19556,Men,Sneakers,Tommy Hilfiger,White,38,Yes,Yes,No,5
d44,13/02/15,15480,Men,Boots,Tommy Hilfiger,White,40,Yes,No,No,5
d45,14/02/15,16826,Men,Flip Flops,Coach,Pink,40,Yes,No,No,5
d46,15/02/15,18910,Men,Flip Flops,Coach,Pink,39,Yes,Yes,No,5
d47,16/02/15,23879,Women,Stilettos,Tommy Hilfiger,White,41,Yes,Yes,No,4
d48,17/02/15,13673,Men,Boots,Coach,Pink,38,Yes,Yes,No,5
d49,18/02/15,14447,Men,Flip Flops,Kate Spade,Red,38,Yes,Yes,No,5
d50,19/02/15,13910,Men,Boots,Tommy Hilfiger,White,38,Yes,No,No,5
d51,20/02/15,13274,Men,Sneakers,Aldo,Black,40,Yes,Yes,No,5
d52,21/02/15,13168,Men,Flip Flops,Aldo,Black,40,Yes,No,Yes,1
d53,22/02/15,16066,Men,Sneakers,Aldo,Black,38,Yes,Yes,No,5
d54,23/02/15,16496,Women,Stilettos,Kate Spade,Red,38,Yes,No,No,5
d55,24/02/15,16868,Men,Flip Flops,Aldo,Black,39,Yes,Yes,No,5
d56,25/02/15,14568,Men,Boots,Adidas,Blue,38,Yes,No,No,5
d57,26/02/15,16362,Men,Boots,Coach,Pink,38,Yes,No,No,4
d58,27/02/15,15531,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d59,28/02/15,15768,Men,Sneakers,Coach,Pink,41,Yes,Yes,No,5
d60,01/03/15,15411,Men,Sneakers,Kate Spade,Red,41,Yes,No,No,5
d61,02/03/15,14950,Women,Stilettos,Adidas,Blue,39,Yes,Yes,No,5
d62,03/03/15,16142,Men,Boots,Aldo,Black,40,Yes,No,Yes,1
d63,04/03/15,15598,Men,Boots,Tommy Hilfiger,White,37,Yes,No,No,5
d64,05/03/15,15648,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d65,06/03/15,14550,Men,Boots,Tommy Hilfiger,White,38,Yes,No,No,5
d66,07/03/15,16293,Men,Sneakers,Coach,Pink,37,Yes,No,Yes,1
d67,08/03/15,16047,Men,Flip Flops,Coach,Pink,41,Yes,Yes,Yes,1
d68,09/03/15,14282,Men,Sneakers,Kate Spade,Red,37,Yes,Yes,No,5
d69,10/03/15,14660,Men,Flip Flops,Coach,Pink,39,Yes,Yes,Yes,1
d70,11/03/15,16350,Men,Sneakers,Aldo,Black,40,Yes,No,No,5
d71,12/03/15,15889,Men,Boots,Tommy Hilfiger,White,38,Yes,Yes,No,5
d72,13/03/15,15321,Men,Boots,Coach,Pink,38,Yes,No,Yes,1
d73,14/03/15,14388,Women,Stilettos,Aldo,Black,37,Yes,No,No,5
d74,15/03/15,14885,Men,Flip Flops,Coach,Pink,39,Yes,Yes,No,5
d75,16/03/15,15348,Men,Flip Flops,Tommy Hilfiger,White,37,Yes,Yes,No,5
d76,17/03/15,14551,Men,Boots,Kate Spade,Red,40,Yes,Yes,Yes,1
d77,18/03/15,13969,Men,Flip Flops,Kate Spade,Red,39,Yes,Yes,Yes,1
d78,19/03/15,13522,Men,Flip Flops,Aldo,Black,37,Yes,No,No,5
d79,20/03/15,16243,Men,Sneakers,Kate Spade,Red,37,Yes,Yes,Yes,1
d80,21/03/15,15251,Women,Wedges,Coach,Pink,41,Yes,Yes,No,5
d81,22/03/15,15307,Women,Stilettos,Tommy Hilfiger,White,40,Yes,No,No,5
d82,23/03/15,14646,Men,Flip Flops,Adidas,Blue,39,Yes,Yes,Yes,1
d83,24/03/15,15502,Women,Stilettos,Coach,Pink,40,Yes,No,No,5
d84,25/03/15,15404,Men,Boots,Tommy Hilfiger,White,39,Yes,No,No,5
d85,26/03/15,15142,Men,Flip Flops,Kate Spade,Red,41,Yes,Yes,No,5
d86,27/03/15,13800,Men,Flip Flops,Coach,Pink,38,Yes,No,Yes,1
d87,28/03/15,13945,Women,Stilettos,Coach,Pink,37,Yes,Yes,Yes,1
d88,29/03/15,16309,Men,Flip Flops,Kate Spade,Red,37,Yes,Yes,No,5
d89,30/03/15,14935,Men,Sneakers,Aldo,Black,41,Yes,No,Yes,1
d90,31/03/15,15025,Men,Sneakers,Aldo,Black,37,Yes,No,No,5
d91,01/04/15,14452,Men,Flip Flops,Aldo,Black,39,Yes,Yes,No,5
d92,02/04/15,16972,Men,Boots,Kate Spade,Red,39,Yes,Yes,Yes,1
d93,03/04/15,15949,Men,Boots,Kate Spade,Red,38,Yes,No,No,5
d94,04/04/15,15394,Men,Sneakers,Adidas,Blue,39,Yes,No,No,5
d95,05/04/15,20333,Men,Flip Flops,Kate Spade,Red,38,Yes,No,No,5
d96,06/04/15,15840,Men,Sneakers,Coach,Pink,39,Yes,Yes,Yes,1
d97,07/04/15,17996,Women,Stilettos,Aldo,Black,40,Yes,Yes,Yes,1
d98,08/04/15,18811,Men,Boots,Adidas,Blue,37,Yes,No,No,5
d99,09/04/15,22701,Men,Flip Flops,Coach,Pink,38,Yes,No,Yes,1
d100,10/04/15,14974,Men,Boots,Aldo,Black,39,Yes,Yes,No,5
d101,11/04/15,15503,Women,Stilettos,Aldo,Black,38,Yes,Yes,Yes,3
d102,12/04/15,14596,Men,Boots,Kate Spade,Red,38,Yes,Yes,No,5
d103,13/04/15,13943,Men,Sneakers,Kate Spade,Red,39,Yes,Yes,No,4
d104,14/04/15,13193,Men,Boots,Adidas,Blue,40,Yes,No,No,5
d105,15/04/15,16363,Men,Boots,Kate Spade,Red,37,Yes,Yes,Yes,1
d106,16/04/15,18024,Men,Sneakers,Tommy Hilfiger,White,41,Yes,No,Yes,1
d107,17/04/15,18198,Men,Flip Flops,Coach,Pink,38,Yes,No,Yes,2
